//CFIN Home DCN,Dept Cost Descr,Site Descr,SCE,SCE Desc,Directorate
Q094FM,Adv Hawkeye Flt Test  BP,"Patuxent River, MD",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
D045CE,Space & Air Syst Sec,"Melbourne, FL",712725,Engineering Support,Spec Eng & Prog Int
ST72ED,Mix Signal Unit Eng,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L071LF,Sensors & Imaging PD,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
L064FA,ISED Staff/IPT Leads E30,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L064GI,Weapons Integration E30 772110,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST71OB,Test Sys Prod Eng,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
D042CA,Eng/Mgrs/IPT/Staff WR,"Warner Robins, GA",WR,WR,Spec Eng & Prog Int
L016CA,AP&T CE 772110,"San Diego, CA",712725,Engineering Support,AE Leadership
ST72FG,Power Conv Packaging,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
Q083BB,BAMS Ground  MCS 1,"Hollywood, MD",712820,Field Engineering,Software Directorate
L071LE,Sensors & Imaging RB,"San Diego, CA",712705,Design Engineering,Elec & Payloads
ST73CE,Microelec Reliab,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L013CC,SSSD CE #2 772110,"Palmdale, CA",712725,Engineering Support,AE Leadership
ST71NI,Ground Unit Products,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
L064CS,Rancho Eqmt & lines,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L056AA,Sys Integr & Ops,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L065FF,Unman'd Combat AirCrt GN&C,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST61AA,Vehicle Products,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L065LD,Performance & CFD E30,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST73CD,Semi Matls Analysis,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
ST73BD,WSA,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
L071AC,Subsys & Payload 772110,"Palmdale, CA",712705,Design Engineering,Elec & Payloads
L067DQ,Palmdale Prod Support E30,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
L065LD,Performance & CFD E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
L057EG,Sensor Algorithms,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L067KC,Palmdale F-35 Struct Anl E30,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
ST72HI,Test FLM M5 - Open,"Redondo Beach, CA",712815,Electronics Technicians,Elec & Payloads
L082DH,XUAS,"San Diego, CA",712715,Software Engineering,Software Directorate
L094FO,Flight Ops 772640,"Edwards AFB, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
L092DH,SSSD TE Ldshp S6 (RB),"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST92EE,SSD Ops S13 (SP),"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L062AA,Staff/IPT Leads,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST68CH,Project Mgmt,"Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
ST73AA,Microelectronics,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L092AA,System Test & Ops,"El Segundo, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L057CA,Vehicle Reqs & Verif,"Palmdale, CA",712710,Systems Engineering,Sys Eng Directorate
ST72BC,Project Leads,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L071EC,Radar & EW - ES,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
ST71OG,Ground Sys Integ,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
ST58FH,MilSatCom 5,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L059CE,Survivability Mat'ls,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L094FB,Flt Ops - B-2 & UCAS,"Palmdale, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST92DG,SSD Test Eng S5 (SP),"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L082DA,Adv ProgSoftware,"San Diego, CA",712715,Software Engineering,Software Directorate
Q042FE,BAMS BM&ES CDM (BP),"Camarillo, CA",PRB,PRB,Spec Eng & Prog Int
ST44FF,Mech SP Mtls Charac Lab,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
L093HC,Instrumentation Design-ES,"El Segundo, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L092DJ,SSSD Test Eng S8 (RB),"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L055DA,Sys Requirements&Verification,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L094HC,Grnd Ops GH 1st Shift,"Edwards AFB, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
ST72GA,Module Assembly & Test,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST44EG,Metals & Joining,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
ST73DC,Photo & Wet Proc,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
D067NA,SAUI Staff/IPT Leads E84 MB,"Melbourne, FL",712705,Design Engineering,Vehicle Engineering
ST64HA,Integrated Sys Analysis,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST72GF,Test Engineering,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
Q081DL,IO/EA Mission Apps BP,"Huntsville, AL",712715,Software Engineering,Software Directorate
L044DB,Veh Mtls & Proc Eng,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
Q094FN,Adv Hawkeye Flt Test  OS,"Bethpage, NY",712820,Field Engineering,"Sys Integ, Test & Eval"
ST72CG,mmW MMIC,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
D056CI,Sys Integr-WR,"Warner Robins, GA",WR,WR,Sys Eng Directorate
ST68CD,"Mfg Eng, Tooling E354","Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
L090AA,"Sys Integ, Test & Eval 772130","El Segundo, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
Q081DH,EW Snsr & POD Mgmt BP,"Goleta, CA",712820,Field Engineering,Software Directorate
L067HA,SDU I Staff/IPT Leads E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
L071HJ,Avionics Ctrl Sys 772110,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
ST72GC,Mfg Eng/Process Plan,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L065LB,"Aerodyn, Aeroelastic, & Load","El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST83CE,Digital Test Systems,"Redondo Beach, CA",712715,Software Engineering,Software Directorate
L093HH,Test Design- AV,"Palmdale, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
Q081DR,IO/EA Mission Plan PRB,"Hollywood, MD",PRB,PRB,Software Directorate
L094HG,Grnd Ops UCAS  772640,"Unknown City, NV",712830,Offsite Engineering,"Sys Integ, Test & Eval"
L082DF,Advanced Programs 5,"San Diego, CA",712715,Software Engineering,Software Directorate
D045DH,Syst Saf & EME Melb,"Melbourne, FL",712725,Engineering Support,Spec Eng & Prog Int
SICW27,NGAII-Germany Office,"Edwards AFB, CA",Int'l,Int'l,"Sys Integ, Test & Eval"
Q056CE,Sys Integr-Hollywood BP,"Charleston, SC",712820,Field Engineering,Sys Eng Directorate
ST72GJ,2nd Shift Test,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
ST58FE,MilSatCom 3,"Manhattan Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST71NF,Dig&Analog Tst Prod,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
L066AB,Vehicle Structures 772130,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
L045BA,Staff/ IPT Lead 772110,"Palmdale, CA",712725,Engineering Support,Spec Eng & Prog Int
Q081DQ,IO/EA Mission Apps PRB,"Hollywood, MD",PRB,PRB,Software Directorate
L071HE,Avionics Engineering,"Tinker AFB, OK",712705,Design Engineering,Elec & Payloads
ST64CO,Mech Des Integ - Space B (MDI),"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L042EE,B-2 CDM (WPAFB) 772110,"Wright-Patterson AFB, OH",712830,Offsite Engineering,Spec Eng & Prog Int
R042FI,AP&T/IR(SAMC)CM,"Saint Augustine, FL",712725,Engineering Support,Spec Eng & Prog Int
ST54CF,Adv Programs ME,"Chantilly, VA",712710,Systems Engineering,Sys Eng Directorate
ST57EH,Space Veh Testbeds,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
Q064CE,BP C&E E&L Conf Zon EngE84PRB,"Hollywood, MD",PRB,PRB,Vehicle Engineering
Q042FC,EW/EA-6B-18G/NGJ/DST CDM,"Hollywood, MD",712725,Engineering Support,Spec Eng & Prog Int
L065HE,TUMS Flight Control E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST73BC,HEMT,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
ST91AA,Test Programs Mgmt,"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L094HA,Ground Ops 772210,"Edwards AFB, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
L082AA,Space Strike Adv SW,"El Segundo, CA",712830,Offsite Engineering,Software Directorate
L057CJ,ReqDevMgtVerif-PD,"Palmdale, CA",712710,Systems Engineering,Sys Eng Directorate
ST72FD,Mixed Signal Pckg,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST54DD,Civ&Mil SysMod&Sim,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
K052AC,Staff T1,"Bethpage, NY",NSCE,Indirect G&A ,Aerospace Eng Tech Ops
ST65JD,DirEn Fluid Systems E354-E,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
Q081DO,IO/EA Supt SW Sys PRB,"Hollywood, MD",PRB,PRB,Software Directorate
K054AD,Staff/IPT Leads T2,"Redondo Beach, CA",NSCE,Engineering Indirect,Spec Eng & Prog Int
ST57EF,Fault Mgmt & PHM,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L044DF,F-35 Mtls & Proc Eng,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
ST64GA,Mech & Deployable Prod,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L093DJ,"LO Model Fab & Assy, Mach- ES","El Segundo, CA",712730,Engineering Technicians,"Sys Integ, Test & Eval"
L071CD,Comm & Links - PMDL,"Palmdale, CA",712705,Design Engineering,Elec & Payloads
L055CE,SysArchPerfAlgo-SD2 772610,"Unknown City, CA",712710,Systems Engineering,Sys Eng Directorate
ST58FA,Military & Civil Sys,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L055DA,Sys Requirements&Verification,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L064CA,Staff/IPT Leads,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
ST44EC,Prog& Subc Sup M&P,"Redondo Beach, CA",712810,Electronics Engineering,Spec Eng & Prog Int
ST55AA,Sys Def & Verif,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
Q081DJ,IO/EA Supt SW Sys BP,"Hollywood, MD",712715,Software Engineering,Software Directorate
Q083BA,Ground Station SW,"Hollywood, MD",712715,Software Engineering,Software Directorate
R067NG,MB & SAMC Struct Analys E75,"Saint Augustine, FL",712705,Design Engineering,Vehicle Engineering
L057DH,Mass Properties-1,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L065JK,"LA ECS, Fuel, HYD & FP E30","Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST44FD,Experimental Proc Fac,"Manhattan Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
ST72EB,Sr. Staff Section,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L092EH,SSSD Ops S16 (RB),"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST93IE,Engineering,"Sunnyvale, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
Q093HJ,Test Design - BP,"Hollywood, MD",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST44EB,Techincal Staff,"Manhattan Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
L083DA,Tactical Vehicle SW,"San Diego, CA",712715,Software Engineering,Software Directorate
L082DA,Adv ProgSoftware,"Palmdale, CA",712715,Software Engineering,Software Directorate
ST73CB,Adv Semicond Matls,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
ST93IB,Test Ops/Conductors,"Manhattan Beach, CA",712730,Engineering Technicians,"Sys Integ, Test & Eval"
ST58EG,Mission 1 Design #2,"Manhattan Beach, CA",712710,Systems Engineering,Sys Eng Directorate
Q042FF,BAMS BM&ES CDM (OS),"Hollywood, MD",712725,Engineering Support,Spec Eng & Prog Int
Q056CG,Sys Integr-Hollywood PRB,"Hollywood, MD",PRB,PRB,Sys Eng Directorate
QDX592,DST Software Eng,"Hollywood, MD",712715,Software Engineering,AE Leadership
Q081DS,IO/EA Supt SW Sys DO,"Hollywood, MD",712715,Software Engineering,Software Directorate
ST45CF,Space Syst Reliablity,"Manhattan Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
ST92DA,System Test Eng,"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L093HE,Electrical Test Design- ES,"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST68EF,SMART Tech & Labs,"Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
L067KH,El Segundo Spcl Pgms S/A E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST56DI,O&M CS/MS,"Manhattan Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L065HB,Flight Control Tech,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
Q057CN,ReqDevMgtVerif-FL OS,"Panama City, FL",712820,Field Engineering,Sys Eng Directorate
ST56DF,L&A CS/MS (BP03) BP03,"Unknown City, MD",712820,Field Engineering,Sys Eng Directorate
ST72GB,Program Execution,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L065HF,Unman'd Combat AC VMS E30,"Unknown City, CA",712705,Design Engineering,Vehicle Engineering
D071EA,Radar  SIGINT & EW-84,"Melbourne, FL",712705,Design Engineering,Elec & Payloads
ST64FD,EDI Space A (Restricted),"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST72DF,Digital Products Dev,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
ST71NI,Ground Unit Products,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
L054DA,Mod & Sim,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST68EG,RF Cable Tech & Labs,"Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
ST54DI,Adv ProgsMod & Sim,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L067KB,F-35 Struct Anl/Integrity E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST57CF,ReqDevMgtVerif-SB1,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L081BA,Strategic UAV SW,"San Diego, CA",712715,Software Engineering,Software Directorate
ST57DA,VehArch & DsgnIntegr,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST44FE,Elec SP Mtls Charac Lab,"Manhattan Beach, CA",712810,Electronics Engineering,Spec Eng & Prog Int
L065LA,FA Staff/IPT Leads E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST56DL,Sys Test-Red Bch #1,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
Q056CC,Staff/IPT Lead,"Niceville, FL",712820,Field Engineering,Sys Eng Directorate
ST72HB,Program Execution,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
L020BC,Staff 772110,"San Bernardino, CA",712725,Engineering Support,Aerospace Eng Tech Ops
L042DD,Eng Tech Estimating,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
L094HF,Grnd Ops UCAS  772210,"Edwards AFB, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
L045CE,Space & Air Syst Sec,"San Diego, CA",712725,Engineering Support,Spec Eng & Prog Int
ST72DE,Modeling & Verif,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
Q042FH,LCS/MPI CDM (OS),"Washington, DC",712820,Field Engineering,Spec Eng & Prog Int
L067HD,HALE Struct Design E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
L090AA,"Sys Integ, Test & Eval 772130","Edwards AFB, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L067DR,F-35 Doors Strct'l Dsn,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST20BA,Staff,"Manhattan Beach, CA",712725,Engineering Support,Aerospace Eng Tech Ops
ST58EI,Mission 5,"Manhattan Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST73BA,Semiconductor Prod,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L082CK,B2 Test & Support SW 772110,"Tinker AFB, OK",712830,Offsite Engineering,Software Directorate
L057AA,Vehicle Systems Eng,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L055DE,Sys Req  Verif-SD1,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L094HB,Grnd Ops B-2,"Edwards AFB, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
ST65AA,"Veh Cntl, Aero & Proplsn","Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L054CK,Ops Analysis-So Bay,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
ST72DA,Digital Products,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
ST82BB,MILSATCOMM,"Redondo Beach, CA",712715,Software Engineering,Software Directorate
Q081DA,AEW & IO/EA Software DO,"Hollywood, MD",712715,Software Engineering,Software Directorate
ST58EH,Mission 1 Devel #2,"Manhattan Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST72EL,Electronics Tech Spt,"Redondo Beach, CA",712815,Electronics Technicians,Elec & Payloads
ST56DI,O&M CS/MS,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST56CL,Sys Integr Natl Sys1,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST57DD,SpaceVehDsgnIntegr-1,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L082DG,HART,"El Segundo, CA",712715,Software Engineering,Software Directorate
ST72BB,RF Design & Analysis,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
D092HI,BMES Tst Eng&Ops S24 (WR E282),"Warner Robins, GA",WR,WR,"Sys Integ, Test & Eval"
L071EA,"Radar, SIGINT & EW-30","San Diego, CA",712705,Design Engineering,Elec & Payloads
L054CI,Ops Analysis-Rancho,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
ST72HD,Test Engineering,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
D081AA,ISR & EW SW COE,"Melbourne, FL",712715,Software Engineering,Software Directorate
ST58AA,Comm & Data Systems,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
ST58ED,Mission 1 Programs#2,"Manhattan Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST72CA,RF Products,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST56DM,System Ops & Test (BP03) BP03,"Seabrook, MD",712820,Field Engineering,Sys Eng Directorate
Q093HJ,Test Design - BP,"Patuxent River, MD",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST73CB,Adv Semicond Matls,"Redondo Beach, CA",712815,Electronics Technicians,Elec & Payloads
K057AA,Elec & Payloads T1,"San Diego, CA",NSCE,Indirect G&A ,Elec & Payloads
L092DI,SSSD TE Ldshp S7 (RB),"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L063AA,Integ Veh Sys & Electromech,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST64CO,Mech Des Integ - Space B (MDI),"Manhattan Beach, CA",712705,Design Engineering,Vehicle Engineering
L065JL,"PD ECS, Fuel, Hyd & FP E30","El Segundo, CA",712705,Design Engineering,Vehicle Engineering
L071GE,Mission Plan & Mgmt,"San Diego, CA",712705,Design Engineering,Elec & Payloads
ST72DG,Digital Design & Ana,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
ST71OE,Ground Sys Ops & Spt,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
ST44CD,Elect & Space Parts,"Redondo Beach, CA",712810,Electronics Engineering,Spec Eng & Prog Int
ST64HC,Thermal Sys Analysis Space - B,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
Q045CE,Space & Air Syst Sec,"Hollywood, MD",712725,Engineering Support,Spec Eng & Prog Int
Q056CH,Sys Integr-Melbourne MB,"Niceville, FL",712710,Systems Engineering,Sys Eng Directorate
ST57CA,Vehicle Reqs & Verif,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST58FI,Mil&Civil Sys-SoBay,"Manhattan Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST73BF,EBL,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
D054DA,Mod & Sim,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
ST72HA,Elec Assembly & Test,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST68CE,PSAT Mfg Eng,"Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
Q056CG,Sys Integr-Hollywood PRB,"Seattle, WA",PRB,PRB,Sys Eng Directorate
L045CD,EME & Vuln Palmdale,"Palmdale, CA",712725,Engineering Support,Spec Eng & Prog Int
L064HE,Thrmal & Dynamics Air E30,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
L043DH,Eng Prop RB & El Seg 772210,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
ST64GG,Mechanisms Space (Cvl & Mil),"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST45CI,Staff,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
L067KJ,F/A-18 Prod Def  & Supt E30,"Patuxent River, MD",712705,Design Engineering,Vehicle Engineering
L092AA,System Test & Ops,"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L054DA,Mod & Sim,"Unknown City, NV",712710,Systems Engineering,Sys Eng Directorate
ST72BA,Antenna Products,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
L042DD,Eng Tech Estimating,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
L064HE,Thrmal & Dynamics Air E30,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST83CB,Vehicle Test Sets,"Manhattan Beach, CA",712715,Software Engineering,Software Directorate
ST72CD,RF Processors,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L045DC,Human Syst  Integ,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
ST68EC,Harness Assy & Test,"Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
Q042FD,EW/EA-6B-18G/NGJ/DST CDM,"Camarillo, CA",PRB,PRB,Spec Eng & Prog Int
L059CA,SurvivabilityTechDev,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
ST68DA,"Composties, Ant & Struct","Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
L064GI,Weapons Integration E30 772110,"Tinker AFB, OK",712705,Design Engineering,Vehicle Engineering
D055DA,Sys Requirements&Verification,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
L094CJ,Flt Test Eng  F-35/ FS,"Fort Worth, TX",712830,Offsite Engineering,"Sys Integ, Test & Eval"
L093HF,Special Test Eqmt- ES,"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
K058AC,SW Staff T1,"Melbourne, FL",NSCE,Indirect G&A ,Software Directorate
D042FK,APT DM/DRC/SW CM(282),"Warner Robins, GA",WR,WR,Spec Eng & Prog Int
D071LH,Sensors & Imaging MB,"Melbourne, FL",712705,Design Engineering,Elec & Payloads
ST43DH,Cust Suppt & Logist BP97,"Manhattan Beach, CA",NSCE,Equipment Maintenance Ctr,Spec Eng & Prog Int
L094FC,Flt Ops GH,"Edwards AFB, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST65JE,DirEn Fluid Systems BP03,"Edwards AFB, CA",712820,Field Engineering,Vehicle Engineering
L092AA,System Test & Ops,"Palmdale, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST73BB,HBT,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
SICW17,NGAII SPACE DIV ROTATION EMPL~,"Redondo Beach, CA",Int'l,Int'l,Elec & Payloads
L094FH,Adv FltTst&Remote Sites 772210,"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST55DA,Sys Requirements&Verification,"Manhattan Beach, CA",712710,Systems Engineering,Sys Eng Directorate
Q083BB,BAMS Ground  MCS 1,"Niceville, FL",712820,Field Engineering,Software Directorate
L093HB,Grnd Spt & Ops Tst Eqmt 772210,"El Segundo, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST71NA,Ground Products Dev,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
ST65JG,Proplsn Sys Compts & Prod,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
D094AA,Flight Test,"Melbourne, FL",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L046AD,SSSD/SSD Prog Afford,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
L044DH,Adv Mtls & Proc Dev,"San Diego, CA",712725,Engineering Support,Spec Eng & Prog Int
L064GA,Mech & Deployable Prod,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
D042FA,BM&ES CDM,"Melbourne, FL",712725,Engineering Support,Spec Eng & Prog Int
L042DN,Prog Design Sppt(MB) 772110,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
ST58FA,Military & Civil Sys,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L071EB,Radar&EW-Tinker AFB,"Tinker AFB, OK",712830,Offsite Engineering,Elec & Payloads
L064FF,ES CHE & EPS-- Air  E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST70AA,Elec & Payloads,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
L083BA,Ground Station SW,"San Diego, CA",712715,Software Engineering,Software Directorate
K052AC,Staff T1,"Melbourne, FL",NSCE,Indirect G&A ,Aerospace Eng Tech Ops
L065HB,Flight Control Tech,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
L046AB,Staff,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
L065LD,Performance & CFD E30,"Unknown City, CA",712705,Design Engineering,Vehicle Engineering
Q021BA,Staff,"Bethpage, NY",712725,Engineering Support,Aerospace Eng Tech Ops
ST72DF,Digital Products Dev,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
